"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"76"	"1700123M08Rik"	1066	0.0194784828598388	1.41028171414967	0.00333061748366292	0.955358261499732	0.972099021056751
"77"	"1700123O20Rik"	1889	-0.539566676387225	6.47734522104041	12.6041783377333	0.00719735002844211	0.0408924066292582
"78"	"1810006J02Rik"	1687	1.74567086055829	2.07649578708774	39.4086405844322	0.000213823126466338	0.00475687033294594
"79"	"1810009A15Rik"	813	-0.429807065849214	0.895146583002098	1.14290152121699	0.315458869059241	0.470073129766434
"80"	"1810013L24Rik"	4074	-0.144667440737306	3.69357675931122	0.617701800572085	0.453984041118824	0.600133335516757
"81"	"1810014B01Rik"	1620	-0.58569663372451	3.75241528988984	9.31172460060243	0.0153068520750456	0.0657949307033234
"82"	"1810022K09Rik"	401	-0.435688389791854	8.59028745056957	6.08369654360598	0.038188482259829	0.116124621498971
"83"	"1810024B03Rik"	1266	-0.458498408730357	1.50894935019313	1.57796265053952	0.243616758594152	0.392152816485778
"84"	"1810026B05Rik"	5143	0.995006681684028	6.16656188849163	18.9660071489315	0.00228338825590837	0.0200586876019028
"85"	"1810026J23Rik"	3170	0.715202402636748	4.98472781957473	14.0270028430465	0.00540378939739697	0.0342206700101331
"86"	"1810030O07Rik"	2572	0.30898064240583	4.82314207684985	3.54413644003797	0.0955740701878817	0.209940220857245
"87"	"1810032O08Rik"	1997	0.843955097178595	6.01015190692219	29.1282095370337	0.00059380826525605	0.0088056679597778
"88"	"1810034E14Rik"	1802	3.16659468515244	0.388217317862613	31.2656377896644	0.000469731558353496	0.00760417296051121
"89"	"1810037I17Rik"	976	-0.944312446746233	7.59586270334631	22.0334774895311	0.00144809420584581	0.0152390867874252
"90"	"1810041H14Rik"	499	1.17108597858257	3.3550200218537	10.4853489228334	0.0115030278427656	0.0549328724503424
"91"	"1810043G02Rik"	1696	0.111926081311897	2.6274906015805	0.255680147241795	0.626396302087228	0.742173351321819
"92"	"1810043H04Rik"	494	-0.409978101744469	7.04861841900925	3.88202551602832	0.0833812185327553	0.191849600196924
"93"	"1810044D09Rik"	486	0.00151455066662691	1.72285120398755	2.82320556941366e-05	0.995887385354294	0.997342935464429
"94"	"1810055G02Rik"	1882	-1.07950810952771	4.67803869214194	29.7673101359242	0.000552830324263297	0.00848058219817637
